arquivo_saida,threads,N,nnz,densidade,tempo_permutacao,tempo_iteracoes,biblioteca,tipoNum,classe,programa
outputCb/tela-C-diag-grid-dim=0021-N=001764-16thr-exeLibC_1.out,16,1764,7056,0.23,0.000010,0.000015,libC,C,diag,exeLibC_1
outputCb/tela-C-diag-grid-dim=0021-N=001764-1thr-py_SciPy.out,1,1764,7056,0.2268,0.001474,0.000028,SciPy,C,diag,py_SciPy
outputCb/tela-C-diag-grid-dim=0021-N=001764-24thr-exeLibC_0.out,24,1764,7056,0.23,0.000000,0.000025,libC,C,diag,exeLibC_0
outputCb/tela-C-diag-grid-dim=0021-N=001764-24thr-exeLibC_1.out,24,1764,7056,0.23,0.000011,0.000017,libC,C,diag,exeLibC_1
outputCb/tela-C-diag-grid-dim=0021-N=001764-48thr-exeLibC_0.out,48,1764,7056,0.23,0.000000,0.000040,libC,C,diag,exeLibC_0
outputCb/tela-C-diag-grid-dim=0021-N=001764-48thr-exeLibC_1.out,48,1764,7056,0.23,0.000017,0.000024,libC,C,diag,exeLibC_1
outputCb/tela-C-diag-grid-dim=0051-N=010404-016thr-py_LibC.out,16,10404,41616,0.0384,0.000042,0.000026,libC,C,diag,py_LibC
outputCb/tela-C-diag-grid-dim=0051-N=010404-01thr-exeLibC_0.out,1,10404,41616,0.04,0.000000,0.000124,libC,C,diag,exeLibC_0
outputCb/tela-C-diag-grid-dim=0051-N=010404-01thr-exeLibC_1.out,1,10404,41616,0.04,0.000107,0.000112,libC,C,diag,exeLibC_1
outputCb/tela-C-diag-grid-dim=0051-N=010404-01thr-py_LibC.out,1,10404,41616,0.0384,0.000122,0.000118,libC,C,diag,py_LibC
outputCb/tela-C-diag-grid-dim=0051-N=010404-024thr-py_LibC.out,24,10404,41616,0.0384,0.000047,0.000031,libC,C,diag,py_LibC
outputCb/tela-C-diag-grid-dim=0051-N=010404-02thr-exeLibC_0.out,2,10404,41616,0.04,0.000000,0.000070,libC,C,diag,exeLibC_0
outputCb/tela-C-diag-grid-dim=0051-N=010404-02thr-exeLibC_1.out,2,10404,41616,0.04,0.000055,0.000064,libC,C,diag,exeLibC_1
outputCb/tela-C-diag-grid-dim=0051-N=010404-02thr-py_LibC.out,2,10404,41616,0.0384,0.000072,0.000064,libC,C,diag,py_LibC
outputCb/tela-C-diag-grid-dim=0051-N=010404-048thr-py_LibC.out,48,10404,41616,0.0384,0.000064,0.000039,libC,C,diag,py_LibC
outputCb/tela-C-diag-grid-dim=0051-N=010404-04thr-exeLibC_0.out,4,10404,41616,0.04,0.000000,0.000054,libC,C,diag,exeLibC_0
outputCb/tela-C-diag-grid-dim=0051-N=010404-04thr-exeLibC_1.out,4,10404,41616,0.04,0.000034,0.000046,libC,C,diag,exeLibC_1
outputCb/tela-C-diag-grid-dim=0051-N=010404-04thr-py_LibC.out,4,10404,41616,0.0384,0.000057,0.000039,libC,C,diag,py_LibC
outputCb/tela-C-diag-grid-dim=0051-N=010404-08thr-exeLibC_0.out,8,10404,41616,0.04,0.000000,0.000047,libC,C,diag,exeLibC_0
outputCb/tela-C-diag-grid-dim=0051-N=010404-08thr-exeLibC_1.out,8,10404,41616,0.04,0.000025,0.000040,libC,C,diag,exeLibC_1
outputCb/tela-C-diag-grid-dim=0051-N=010404-08thr-py_LibC.out,8,10404,41616,0.0384,0.000045,0.000028,libC,C,diag,py_LibC
outputCb/tela-C-diag-grid-dim=0051-N=010404-16thr-exeLibC_0.out,16,10404,41616,0.04,0.000000,0.000049,libC,C,diag,exeLibC_0
outputCb/tela-C-diag-grid-dim=0051-N=010404-16thr-exeLibC_1.out,16,10404,41616,0.04,0.000022,0.000039,libC,C,diag,exeLibC_1
outputCb/tela-C-diag-grid-dim=0051-N=010404-1thr-py_SciPy.out,1,10404,41616,0.0384,0.000501,0.000124,SciPy,C,diag,py_SciPy
outputCb/tela-C-diag-grid-dim=0051-N=010404-24thr-exeLibC_0.out,24,10404,41616,0.04,0.000000,0.000057,libC,C,diag,exeLibC_0
outputCb/tela-C-diag-grid-dim=0051-N=010404-24thr-exeLibC_1.out,24,10404,41616,0.04,0.000025,0.000046,libC,C,diag,exeLibC_1
outputCb/tela-C-diag-grid-dim=0051-N=010404-48thr-exeLibC_0.out,48,10404,41616,0.04,0.000000,0.000068,libC,C,diag,exeLibC_0
outputCb/tela-C-diag-grid-dim=0051-N=010404-48thr-exeLibC_1.out,48,10404,41616,0.04,0.000033,0.000056,libC,C,diag,exeLibC_1
outputCb/tela-C-diag-grid-dim=0121-N=058564-016thr-py_LibC.out,16,58564,234256,0.0068,0.000312,0.000132,libC,C,diag,py_LibC
outputCb/tela-C-diag-grid-dim=0121-N=058564-01thr-exeLibC_0.out,1,58564,234256,0.01,0.000000,0.000721,libC,C,diag,exeLibC_0
outputCb/tela-C-diag-grid-dim=0121-N=058564-01thr-exeLibC_1.out,1,58564,234256,0.01,0.000608,0.000633,libC,C,diag,exeLibC_1
outputCb/tela-C-diag-grid-dim=0121-N=058564-01thr-py_LibC.out,1,58564,234256,0.0068,0.000785,0.000616,libC,C,diag,py_LibC
outputCb/tela-C-diag-grid-dim=0121-N=058564-024thr-py_LibC.out,24,58564,234256,0.0068,0.000295,0.000105,libC,C,diag,py_LibC
outputCb/tela-C-diag-grid-dim=0121-N=058564-02thr-exeLibC_0.out,2,58564,234256,0.01,0.000000,0.000396,libC,C,diag,exeLibC_0
outputCb/tela-C-diag-grid-dim=0121-N=058564-02thr-exeLibC_1.out,2,58564,234256,0.01,0.000344,0.000352,libC,C,diag,exeLibC_1
outputCb/tela-C-diag-grid-dim=0121-N=058564-02thr-py_LibC.out,2,58564,234256,0.0068,0.000495,0.000322,libC,C,diag,py_LibC
outputCb/tela-C-diag-grid-dim=0121-N=058564-048thr-py_LibC.out,48,58564,234256,0.0068,0.000320,0.000091,libC,C,diag,py_LibC
outputCb/tela-C-diag-grid-dim=0121-N=058564-04thr-exeLibC_0.out,4,58564,234256,0.01,0.000000,0.000279,libC,C,diag,exeLibC_0
outputCb/tela-C-diag-grid-dim=0121-N=058564-04thr-exeLibC_1.out,4,58564,234256,0.01,0.000217,0.000245,libC,C,diag,exeLibC_1
outputCb/tela-C-diag-grid-dim=0121-N=058564-04thr-py_LibC.out,4,58564,234256,0.0068,0.000592,0.000227,libC,C,diag,py_LibC
outputCb/tela-C-diag-grid-dim=0121-N=058564-08thr-exeLibC_0.out,8,58564,234256,0.01,0.000000,0.000215,libC,C,diag,exeLibC_0
outputCb/tela-C-diag-grid-dim=0121-N=058564-08thr-exeLibC_1.out,8,58564,234256,0.01,0.000147,0.000197,libC,C,diag,exeLibC_1
outputCb/tela-C-diag-grid-dim=0121-N=058564-08thr-py_LibC.out,8,58564,234256,0.0068,0.000401,0.000192,libC,C,diag,py_LibC
outputCb/tela-C-diag-grid-dim=0121-N=058564-16thr-exeLibC_0.out,16,58564,234256,0.01,0.000000,0.000182,libC,C,diag,exeLibC_0
outputCb/tela-C-diag-grid-dim=0121-N=058564-16thr-exeLibC_1.out,16,58564,234256,0.01,0.000117,0.000164,libC,C,diag,exeLibC_1
outputCb/tela-C-diag-grid-dim=0121-N=058564-1thr-py_SciPy.out,1,58564,234256,0.0068,0.002495,0.000609,SciPy,C,diag,py_SciPy
outputCb/tela-C-diag-grid-dim=0121-N=058564-24thr-exeLibC_0.out,24,58564,234256,0.01,0.000000,0.000180,libC,C,diag,exeLibC_0
outputCb/tela-C-diag-grid-dim=0121-N=058564-24thr-exeLibC_1.out,24,58564,234256,0.01,0.000106,0.000160,libC,C,diag,exeLibC_1
outputCb/tela-C-diag-grid-dim=0121-N=058564-48thr-exeLibC_0.out,48,58564,234256,0.01,0.000000,0.000224,libC,C,diag,exeLibC_0
outputCb/tela-C-diag-grid-dim=0121-N=058564-48thr-exeLibC_1.out,48,58564,234256,0.01,0.000114,0.000188,libC,C,diag,exeLibC_1
outputCb/tela-C-hypercube-dim=0010-N=010240-016thr-py_LibC.out,16,10240,102400,0.0977,0.000063,0.000039,libC,C,hypercube,py_LibC
outputCb/tela-C-hypercube-dim=0010-N=010240-01thr-exeLibC_0.out,1,10240,102400,0.10,0.000000,0.000258,libC,C,hypercube,exeLibC_0
outputCb/tela-C-hypercube-dim=0010-N=010240-01thr-exeLibC_1.out,1,10240,102400,0.10,0.000246,0.000244,libC,C,hypercube,exeLibC_1
outputCb/tela-C-hypercube-dim=0010-N=010240-01thr-py_LibC.out,1,10240,102400,0.0977,0.000345,0.000251,libC,C,hypercube,py_LibC
outputCb/tela-C-hypercube-dim=0010-N=010240-024thr-py_LibC.out,24,10240,102400,0.0977,0.000061,0.000043,libC,C,hypercube,py_LibC
outputCb/tela-C-hypercube-dim=0010-N=010240-02thr-exeLibC_0.out,2,10240,102400,0.10,0.000000,0.000150,libC,C,hypercube,exeLibC_0
outputCb/tela-C-hypercube-dim=0010-N=010240-02thr-exeLibC_1.out,2,10240,102400,0.10,0.000141,0.000130,libC,C,hypercube,exeLibC_1
outputCb/tela-C-hypercube-dim=0010-N=010240-02thr-py_LibC.out,2,10240,102400,0.0977,0.000177,0.000137,libC,C,hypercube,py_LibC
outputCb/tela-C-hypercube-dim=0010-N=010240-048thr-py_LibC.out,48,10240,102400,0.0977,0.000082,0.000053,libC,C,hypercube,py_LibC
outputCb/tela-C-hypercube-dim=0010-N=010240-04thr-exeLibC_0.out,4,10240,102400,0.10,0.000000,0.000114,libC,C,hypercube,exeLibC_0
outputCb/tela-C-hypercube-dim=0010-N=010240-04thr-exeLibC_1.out,4,10240,102400,0.10,0.000073,0.000094,libC,C,hypercube,exeLibC_1
outputCb/tela-C-hypercube-dim=0010-N=010240-04thr-py_LibC.out,4,10240,102400,0.0977,0.000130,0.000091,libC,C,hypercube,py_LibC
outputCb/tela-C-hypercube-dim=0010-N=010240-08thr-exeLibC_0.out,8,10240,102400,0.10,0.000000,0.000079,libC,C,hypercube,exeLibC_0
outputCb/tela-C-hypercube-dim=0010-N=010240-08thr-exeLibC_1.out,8,10240,102400,0.10,0.000038,0.000069,libC,C,hypercube,exeLibC_1
outputCb/tela-C-hypercube-dim=0010-N=010240-08thr-py_LibC.out,8,10240,102400,0.0977,0.000074,0.000052,libC,C,hypercube,py_LibC
outputCb/tela-C-hypercube-dim=0010-N=010240-16thr-exeLibC_0.out,16,10240,102400,0.10,0.000000,0.000063,libC,C,hypercube,exeLibC_0
outputCb/tela-C-hypercube-dim=0010-N=010240-16thr-exeLibC_1.out,16,10240,102400,0.10,0.000029,0.000054,libC,C,hypercube,exeLibC_1
outputCb/tela-C-hypercube-dim=0010-N=010240-1thr-py_SciPy.out,1,10240,102400,0.0977,0.000977,0.000209,SciPy,C,hypercube,py_SciPy
outputCb/tela-C-hypercube-dim=0010-N=010240-24thr-exeLibC_0.out,24,10240,102400,0.10,0.000000,0.000065,libC,C,hypercube,exeLibC_0
outputCb/tela-C-hypercube-dim=0010-N=010240-24thr-exeLibC_1.out,24,10240,102400,0.10,0.000029,0.000061,libC,C,hypercube,exeLibC_1
outputCb/tela-C-hypercube-dim=0010-N=010240-48thr-exeLibC_0.out,48,10240,102400,0.10,0.000000,0.000081,libC,C,hypercube,exeLibC_0
outputCb/tela-C-hypercube-dim=0010-N=010240-48thr-exeLibC_1.out,48,10240,102400,0.10,0.000034,0.000075,libC,C,hypercube,exeLibC_1
outputCb/tela-C-hypercube-dim=0012-N=049152-016thr-py_LibC.out,16,49152,589824,0.0244,0.000519,0.000215,libC,C,hypercube,py_LibC
outputCb/tela-C-hypercube-dim=0012-N=049152-01thr-exeLibC_0.out,1,49152,589824,0.02,0.000000,0.001489,libC,C,hypercube,exeLibC_0
outputCb/tela-C-hypercube-dim=0012-N=049152-01thr-exeLibC_1.out,1,49152,589824,0.02,0.001789,0.001387,libC,C,hypercube,exeLibC_1
outputCb/tela-C-hypercube-dim=0012-N=049152-01thr-py_LibC.out,1,49152,589824,0.0244,0.002836,0.001477,libC,C,hypercube,py_LibC
outputCb/tela-C-hypercube-dim=0012-N=049152-024thr-py_LibC.out,24,49152,589824,0.0244,0.000444,0.000178,libC,C,hypercube,py_LibC
outputCb/tela-C-hypercube-dim=0012-N=049152-02thr-exeLibC_0.out,2,49152,589824,0.02,0.000000,0.000794,libC,C,hypercube,exeLibC_0
outputCb/tela-C-hypercube-dim=0012-N=049152-02thr-exeLibC_1.out,2,49152,589824,0.02,0.000887,0.000725,libC,C,hypercube,exeLibC_1
outputCb/tela-C-hypercube-dim=0012-N=049152-02thr-py_LibC.out,2,49152,589824,0.0244,0.001597,0.000752,libC,C,hypercube,py_LibC
outputCb/tela-C-hypercube-dim=0012-N=049152-048thr-py_LibC.out,48,49152,589824,0.0244,0.000408,0.000152,libC,C,hypercube,py_LibC
outputCb/tela-C-hypercube-dim=0012-N=049152-04thr-exeLibC_0.out,4,49152,589824,0.02,0.000000,0.001322,libC,C,hypercube,exeLibC_0
outputCb/tela-C-hypercube-dim=0012-N=049152-04thr-exeLibC_1.out,4,49152,589824,0.02,0.000486,0.000522,libC,C,hypercube,exeLibC_1
outputCb/tela-C-hypercube-dim=0012-N=049152-04thr-py_LibC.out,4,49152,589824,0.0244,0.001236,0.000491,libC,C,hypercube,py_LibC
outputCb/tela-C-hypercube-dim=0012-N=049152-08thr-exeLibC_0.out,8,49152,589824,0.02,0.000000,0.000351,libC,C,hypercube,exeLibC_0
outputCb/tela-C-hypercube-dim=0012-N=049152-08thr-exeLibC_1.out,8,49152,589824,0.02,0.000282,0.000318,libC,C,hypercube,exeLibC_1
outputCb/tela-C-hypercube-dim=0012-N=049152-08thr-py_LibC.out,8,49152,589824,0.0244,0.000746,0.000283,libC,C,hypercube,py_LibC
outputCb/tela-C-hypercube-dim=0012-N=049152-16thr-exeLibC_0.out,16,49152,589824,0.02,0.000000,0.000253,libC,C,hypercube,exeLibC_0
outputCb/tela-C-hypercube-dim=0012-N=049152-16thr-exeLibC_1.out,16,49152,589824,0.02,0.000176,0.000212,libC,C,hypercube,exeLibC_1
outputCb/tela-C-hypercube-dim=0012-N=049152-1thr-py_SciPy.out,1,49152,589824,0.0244,0.010439,0.001361,SciPy,C,hypercube,py_SciPy
outputCb/tela-C-hypercube-dim=0012-N=049152-24thr-exeLibC_0.out,24,49152,589824,0.02,0.000000,0.000228,libC,C,hypercube,exeLibC_0
outputCb/tela-C-hypercube-dim=0012-N=049152-24thr-exeLibC_1.out,24,49152,589824,0.02,0.000134,0.000187,libC,C,hypercube,exeLibC_1
outputCb/tela-C-hypercube-dim=0012-N=049152-48thr-exeLibC_0.out,48,49152,589824,0.02,0.000000,0.000227,libC,C,hypercube,exeLibC_0
outputCb/tela-C-hypercube-dim=0012-N=049152-48thr-exeLibC_1.out,48,49152,589824,0.02,0.000117,0.000192,libC,C,hypercube,exeLibC_1
outputCb/tela-C-hypercube-dim=0014-N=229376-016thr-py_LibC.out,16,229376,3211264,0.0061,0.002871,0.001015,libC,C,hypercube,py_LibC
outputCb/tela-C-hypercube-dim=0014-N=229376-01thr-exeLibC_0.out,1,229376,3211264,0.01,0.000000,0.009215,libC,C,hypercube,exeLibC_0
outputCb/tela-C-hypercube-dim=0014-N=229376-01thr-exeLibC_1.out,1,229376,3211264,0.01,0.022995,0.008849,libC,C,hypercube,exeLibC_1
outputCb/tela-C-hypercube-dim=0014-N=229376-01thr-py_LibC.out,1,229376,3211264,0.0061,0.025201,0.008589,libC,C,hypercube,py_LibC
outputCb/tela-C-hypercube-dim=0014-N=229376-024thr-py_LibC.out,24,229376,3211264,0.0061,0.002564,0.000838,libC,C,hypercube,py_LibC
outputCb/tela-C-hypercube-dim=0014-N=229376-02thr-exeLibC_0.out,2,229376,3211264,0.01,0.000000,0.004918,libC,C,hypercube,exeLibC_0
outputCb/tela-C-hypercube-dim=0014-N=229376-02thr-exeLibC_1.out,2,229376,3211264,0.01,0.011852,0.004545,libC,C,hypercube,exeLibC_1
outputCb/tela-C-hypercube-dim=0014-N=229376-02thr-py_LibC.out,2,229376,3211264,0.0061,0.013523,0.004381,libC,C,hypercube,py_LibC
outputCb/tela-C-hypercube-dim=0014-N=229376-048thr-py_LibC.out,48,229376,3211264,0.0061,0.002866,0.001079,libC,C,hypercube,py_LibC
outputCb/tela-C-hypercube-dim=0014-N=229376-04thr-exeLibC_0.out,4,229376,3211264,0.01,0.000000,0.002998,libC,C,hypercube,exeLibC_0
outputCb/tela-C-hypercube-dim=0014-N=229376-04thr-exeLibC_1.out,4,229376,3211264,0.01,0.006128,0.002835,libC,C,hypercube,exeLibC_1
outputCb/tela-C-hypercube-dim=0014-N=229376-04thr-py_LibC.out,4,229376,3211264,0.0061,0.008028,0.002728,libC,C,hypercube,py_LibC
outputCb/tela-C-hypercube-dim=0014-N=229376-08thr-exeLibC_0.out,8,229376,3211264,0.01,0.000000,0.001875,libC,C,hypercube,exeLibC_0
outputCb/tela-C-hypercube-dim=0014-N=229376-08thr-exeLibC_1.out,8,229376,3211264,0.01,0.003833,0.001733,libC,C,hypercube,exeLibC_1
outputCb/tela-C-hypercube-dim=0014-N=229376-08thr-py_LibC.out,8,229376,3211264,0.0061,0.004183,0.001436,libC,C,hypercube,py_LibC
outputCb/tela-C-hypercube-dim=0014-N=229376-16thr-exeLibC_0.out,16,229376,3211264,0.01,0.000000,0.001250,libC,C,hypercube,exeLibC_0
outputCb/tela-C-hypercube-dim=0014-N=229376-16thr-exeLibC_1.out,16,229376,3211264,0.01,0.002190,0.001151,libC,C,hypercube,exeLibC_1
outputCb/tela-C-hypercube-dim=0014-N=229376-1thr-py_SciPy.out,1,229376,3211264,0.0061,0.084353,0.008647,SciPy,C,hypercube,py_SciPy
outputCb/tela-C-hypercube-dim=0014-N=229376-24thr-exeLibC_0.out,24,229376,3211264,0.01,0.000000,0.001088,libC,C,hypercube,exeLibC_0
outputCb/tela-C-hypercube-dim=0014-N=229376-24thr-exeLibC_1.out,24,229376,3211264,0.01,0.001839,0.000951,libC,C,hypercube,exeLibC_1
outputCb/tela-C-hypercube-dim=0014-N=229376-48thr-exeLibC_0.out,48,229376,3211264,0.01,0.000000,0.000907,libC,C,hypercube,exeLibC_0
outputCb/tela-C-hypercube-dim=0014-N=229376-48thr-exeLibC_1.out,48,229376,3211264,0.01,0.001404,0.000865,libC,C,hypercube,exeLibC_1
outputCb/tela-C-line-num-vert=0501-N=001000-016thr-py_LibC.out,16,1000,1998,0.1998,0.000015,0.000015,libC,C,line,py_LibC
outputCb/tela-C-line-num-vert=0501-N=001000-01thr-exeLibC_0.out,1,1000,1998,0.20,0.000000,0.000009,libC,C,line,exeLibC_0
outputCb/tela-C-line-num-vert=0501-N=001000-01thr-exeLibC_1.out,1,1000,1998,0.20,0.000007,0.000007,libC,C,line,exeLibC_1
outputCb/tela-C-line-num-vert=0501-N=001000-01thr-py_LibC.out,1,1000,1998,0.1998,0.000010,0.000012,libC,C,line,py_LibC
outputCb/tela-C-line-num-vert=0501-N=001000-024thr-py_LibC.out,24,1000,1998,0.1998,0.000019,0.000017,libC,C,line,py_LibC
outputCb/tela-C-line-num-vert=0501-N=001000-02thr-exeLibC_0.out,2,1000,1998,0.20,0.000000,0.000007,libC,C,line,exeLibC_0
outputCb/tela-C-line-num-vert=0501-N=001000-02thr-exeLibC_1.out,2,1000,1998,0.20,0.000005,0.000006,libC,C,line,exeLibC_1
outputCb/tela-C-line-num-vert=0501-N=001000-02thr-py_LibC.out,2,1000,1998,0.1998,0.000009,0.000009,libC,C,line,py_LibC
outputCb/tela-C-line-num-vert=0501-N=001000-048thr-py_LibC.out,48,1000,1998,0.1998,0.000032,0.000027,libC,C,line,py_LibC
outputCb/tela-C-line-num-vert=0501-N=001000-04thr-exeLibC_0.out,4,1000,1998,0.20,0.000000,0.000010,libC,C,line,exeLibC_0
outputCb/tela-C-line-num-vert=0501-N=001000-04thr-exeLibC_1.out,4,1000,1998,0.20,0.000006,0.000007,libC,C,line,exeLibC_1
outputCb/tela-C-line-num-vert=0501-N=001000-04thr-py_LibC.out,4,1000,1998,0.1998,0.000010,0.000010,libC,C,line,py_LibC
outputCb/tela-C-line-num-vert=0501-N=001000-08thr-exeLibC_0.out,8,1000,1998,0.20,0.000000,0.000013,libC,C,line,exeLibC_0
outputCb/tela-C-line-num-vert=0501-N=001000-08thr-exeLibC_1.out,8,1000,1998,0.20,0.000005,0.000008,libC,C,line,exeLibC_1
outputCb/tela-C-line-num-vert=0501-N=001000-08thr-py_LibC.out,8,1000,1998,0.1998,0.000012,0.000012,libC,C,line,py_LibC
outputCb/tela-C-line-num-vert=0501-N=001000-16thr-exeLibC_0.out,16,1000,1998,0.20,0.000000,0.000017,libC,C,line,exeLibC_0
outputCb/tela-C-line-num-vert=0501-N=001000-16thr-exeLibC_1.out,16,1000,1998,0.20,0.000008,0.000010,libC,C,line,exeLibC_1
outputCb/tela-C-line-num-vert=0501-N=001000-1thr-py_SciPy.out,1,1000,1998,0.1998,0.000138,0.000016,SciPy,C,line,py_SciPy
outputCb/tela-C-line-num-vert=0501-N=001000-24thr-exeLibC_0.out,24,1000,1998,0.20,0.000000,0.000021,libC,C,line,exeLibC_0
outputCb/tela-C-line-num-vert=0501-N=001000-24thr-exeLibC_1.out,24,1000,1998,0.20,0.000010,0.000013,libC,C,line,exeLibC_1
outputCb/tela-C-line-num-vert=0501-N=001000-48thr-exeLibC_0.out,48,1000,1998,0.20,0.000000,0.000036,libC,C,line,exeLibC_0
outputCb/tela-C-line-num-vert=0501-N=001000-48thr-exeLibC_1.out,48,1000,1998,0.20,0.000024,0.000027,libC,C,line,exeLibC_1
outputCb/tela-C-line-num-vert=1001-N=002000-016thr-py_LibC.out,16,2000,3998,0.0999,0.000017,0.000015,libC,C,line,py_LibC
outputCb/tela-C-line-num-vert=1001-N=002000-01thr-exeLibC_0.out,1,2000,3998,0.10,0.000000,0.000016,libC,C,line,exeLibC_0
outputCb/tela-C-line-num-vert=1001-N=002000-01thr-exeLibC_1.out,1,2000,3998,0.10,0.000013,0.000014,libC,C,line,exeLibC_1
outputCb/tela-C-line-num-vert=1001-N=002000-01thr-py_LibC.out,1,2000,3998,0.0999,0.000017,0.000017,libC,C,line,py_LibC
outputCb/tela-C-line-num-vert=1001-N=002000-024thr-py_LibC.out,24,2000,3998,0.0999,0.000020,0.000017,libC,C,line,py_LibC
outputCb/tela-C-line-num-vert=1001-N=002000-02thr-exeLibC_0.out,2,2000,3998,0.10,0.000000,0.000011,libC,C,line,exeLibC_0
outputCb/tela-C-line-num-vert=1001-N=002000-02thr-exeLibC_1.out,2,2000,3998,0.10,0.000008,0.000009,libC,C,line,exeLibC_1
outputCb/tela-C-line-num-vert=1001-N=002000-02thr-py_LibC.out,2,2000,3998,0.0999,0.000013,0.000012,libC,C,line,py_LibC
outputCb/tela-C-line-num-vert=1001-N=002000-048thr-py_LibC.out,48,2000,3998,0.0999,0.000034,0.000028,libC,C,line,py_LibC
outputCb/tela-C-line-num-vert=1001-N=002000-04thr-exeLibC_0.out,4,2000,3998,0.10,0.000000,0.000014,libC,C,line,exeLibC_0
outputCb/tela-C-line-num-vert=1001-N=002000-04thr-exeLibC_1.out,4,2000,3998,0.10,0.000008,0.000011,libC,C,line,exeLibC_1
outputCb/tela-C-line-num-vert=1001-N=002000-04thr-py_LibC.out,4,2000,3998,0.0999,0.000013,0.000012,libC,C,line,py_LibC
outputCb/tela-C-line-num-vert=1001-N=002000-08thr-exeLibC_0.out,8,2000,3998,0.10,0.000000,0.000016,libC,C,line,exeLibC_0
outputCb/tela-C-line-num-vert=1001-N=002000-08thr-exeLibC_1.out,8,2000,3998,0.10,0.000008,0.000012,libC,C,line,exeLibC_1
outputCb/tela-C-line-num-vert=1001-N=002000-08thr-py_LibC.out,8,2000,3998,0.0999,0.000014,0.000013,libC,C,line,py_LibC
outputCb/tela-C-line-num-vert=1001-N=002000-16thr-exeLibC_0.out,16,2000,3998,0.10,0.000000,0.000021,libC,C,line,exeLibC_0
outputCb/tela-C-line-num-vert=1001-N=002000-16thr-exeLibC_1.out,16,2000,3998,0.10,0.000009,0.000013,libC,C,line,exeLibC_1
outputCb/tela-C-line-num-vert=1001-N=002000-1thr-py_SciPy.out,1,2000,3998,0.0999,0.000162,0.000021,SciPy,C,line,py_SciPy
outputCb/tela-C-line-num-vert=1001-N=002000-24thr-exeLibC_0.out,24,2000,3998,0.10,0.000000,0.000026,libC,C,line,exeLibC_0
outputCb/tela-C-line-num-vert=1001-N=002000-24thr-exeLibC_1.out,24,2000,3998,0.10,0.000011,0.000015,libC,C,line,exeLibC_1
outputCb/tela-C-line-num-vert=1001-N=002000-48thr-exeLibC_0.out,48,2000,3998,0.10,0.000000,0.000042,libC,C,line,exeLibC_0
outputCb/tela-C-line-num-vert=1001-N=002000-48thr-exeLibC_1.out,48,2000,3998,0.10,0.000020,0.000025,libC,C,line,exeLibC_1
outputCb/tela-C-line-num-vert=2001-N=004000-016thr-py_LibC.out,16,4000,7998,0.0500,0.000019,0.000016,libC,C,line,py_LibC
outputCb/tela-C-line-num-vert=2001-N=004000-01thr-exeLibC_0.out,1,4000,7998,0.05,0.000000,0.000030,libC,C,line,exeLibC_0
